formula,Tf
Cs2CrYF6,3.298685986538808
Cs2MgSmF6,3.298685986538808
Cs2NaTlF6,3.298689442147139
Cs2NbInF6,3.2986917179109807
Cs2NbPtF6,3.2986946145065756
Cs2NaErF6,3.298698029305897
Cs2GePbF6,3.2987020829515474
Cs2GeSrF6,3.298711847278139
Cs2GeSmF6,3.298730749347369
Cs2ScPtF6,3.298730749347369
Cs2AgPtF6,3.298730749347369
Cs2NaTmF6,3.2987382627987616
Cs2HgAlF6,3.2987382627987616
Cs2CoSrF6,3.2987462521974384
Cs2CuPbF6,3.298754913623206
Cs2VYF6,3.298754913623206
Cs2CoPbF6,3.298764053593482
Cs2ZnSrF6,3.298764053593482
Cs2CuSrF6,3.2987738595900895
Cs2ZnPbF6,3.2987841538237213
Cs2MgPbF6,3.2987951005337304
Cs2MgSrF6,3.2988186362960863
Cs2ZnEuF6,3.2988186362960863
Cs2KAlF6,3.298831251978079
Cs2ScInF6,3.298831251978079
Cs2CoEuF6,3.2988444667267585
Cs2TiDyF6,3.2988582505170525
Cs2CaNbF6,3.2988582505170525
Cs2NaYF6,3.2988875491199368
Cs2NaHoF6,3.29891914811338
Cs2AuAlF6,3.298935724639218
Cs2MnDyF6,3.2989707323918824
Cs2FeYF6,3.299008034175402
Cs2PdHgF6,3.299047629885183
Cs2NaYbF6,3.299047629885183
Cs2PdTmF6,3.299047629885183
Cs2CoSmF6,3.299068554795078
Cs2ZnSmF6,3.2991116609104516
Cs2AgScF6,3.2991801796406133
Cs2CdPtF6,3.29920478105819
Cs2CaAgF6,3.29920478105819
Cs2CaScF6,3.29920478105819
Cs2PdDyF6,3.299254795859424
Cs2TlPF6,3.2993071143376778
Cs2GeEuF6,3.299333371699422
Cs2NaSbF6,3.2993890226052294
Cs2NaDyF6,3.2994778959105915
Cs2CdInF6,3.2994778959105915
Cs2AgCdF6,3.299507204473234
Cs2ScCdF6,3.299507204473234
Cs2MnYF6,3.2995394332116126
Cs2PdYbF6,3.299569735371138
Cs2PdSnF6,3.299569735371138
Cs2TiHgF6,3.299569735371138
Cs2TiTmF6,3.299569735371138
Cs2NiSmF6,3.2996345595481515
Cs2NaLuF6,3.299634559548152
Cs2MgEuF6,3.299701676991183
Cs2FeEuF6,3.2997378815303
Cs2AuAsF6,3.2998086446089623
Cs2AgInF6,3.2999570940073575
Cs2NbYbF6,3.2999570940073575
Cs2NbSnF6,3.2999570940073575
Cs2NaPdF6,3.3000716632717935
Cs2AgTaF6,3.3001525404627245
Cs2NbCdF6,3.300152540462725
Cs2CaCdF6,3.3001970834256564
Cs2TiSnF6,3.3003211750556583
Cs2TiYbF6,3.3003211750556583
Cs2AgNbF6,3.3003211750556583
Cs2NaTbF6,3.30036862571369
Cs2NiPbF6,3.3004089325610124
Cs2HgAsF6,3.3004578631973747
Cs2VEuF6,3.3004578631973747
Cs2NiSrF6,3.30049898362056
Cs2NiPrF6,3.300643273483499
Cs2ScAgF6,3.300685966692756
Cs2ScYbF6,3.3007394473651006
Cs2AgSnF6,3.3007394473651006
Cs2ScSnF6,3.3007394473651006
Cs2CrDyF6,3.300782898869717
Cs2NbTmF6,3.300837934471512
Cs2NbHgF6,3.300837934471512
Cs2NaAuF6,3.300882124929497
Cs2CrEuF6,3.3012550264445277
Cs2RbPF6,3.3012550264445277
Cs2CaPdF6,3.3014126672797524
Cs2AuNiF6,3.3014774666880236
Cs2FeSrF6,3.3014774666880236
Cs2FePbF6,3.3015921624609934
Cs2NaGdF6,3.3015921624609934
Cs2NbAgF6,3.301640945528833
Cs2ScNbF6,3.301640945528833
Cs2VDyF6,3.301640945528833
Cs2ScHgF6,3.301828508379014
Cs2ScTmF6,3.301828508379014
Cs2AgHgF6,3.301828508379014
Cs2TiYF6,3.302200422630877
Cs2MnHgF6,3.302251804977521
Cs2MnTmF6,3.302251804977521
