formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Li2NaBF6,Li,Na,B,F,1.159,1.028,0.266,0.647,1.331,4.129995690612495,1
Li2NaBCl6,Li,Na,B,Cl,1.159,1.028,0.266,0.647,1.806,4.864153341308013,1
Li2NaBBr6,Li,Na,B,Br,1.159,1.028,0.266,0.647,1.955,5.094447004368291,1
Li2NaBI6,Li,Na,B,I,1.159,1.028,0.266,0.647,2.194,5.463844222297194,1
Li2NaNF6,Li,Na,N,F,1.159,1.028,0.166,0.597,1.331,4.15589923309922,1
Li2NaNCl6,Li,Na,N,Cl,1.159,1.028,0.166,0.597,1.806,4.951544124221497,1
Li2NaNBr6,Li,Na,N,Br,1.159,1.028,0.166,0.597,1.955,5.201125363752486,1
Li2NaNI6,Li,Na,N,I,1.159,1.028,0.166,0.597,2.194,5.601460372127695,1
Li2NaAlF6,Li,Na,Al,F,1.159,1.028,0.537,0.7825,1.331,4.4715257198206,1
Li2NaAlCl6,Li,Na,Al,Cl,1.159,1.028,0.537,0.7825,1.806,5.0785544738142105,1
Li2NaAlBr6,Li,Na,Al,Br,1.159,1.028,0.537,0.7825,1.955,5.268969809277469,1
Li2NaAlI6,Li,Na,Al,I,1.159,1.028,0.537,0.7825,2.194,5.574401119181623,1
Li2NaPF6,Li,Na,P,F,1.159,1.028,0.444,0.736,1.331,4.2763564626004404,1
Li2NaPCl6,Li,Na,P,Cl,1.159,1.028,0.444,0.736,1.806,4.921736897383049,1
Li2NaPBr6,Li,Na,P,Br,1.159,1.028,0.444,0.736,1.955,5.124182549556962,1
Li2NaPI6,Li,Na,P,I,1.159,1.028,0.444,0.736,2.194,5.448910810426527,1
Li2NaScF6,Li,Na,Sc,F,1.159,1.028,0.741,0.8845000000000001,1.331,5.352721024119029,1
Li2NaScCl6,Li,Na,Sc,Cl,1.159,1.028,0.741,0.8845000000000001,1.806,5.889747592801902,1
Li2NaScBr6,Li,Na,Sc,Br,1.159,1.028,0.741,0.8845000000000001,1.955,6.058204348030845,1
Li2NaScI6,Li,Na,Sc,I,1.159,1.028,0.741,0.8845000000000001,2.194,6.3284135057470685,1
Li2NaTiF6,Li,Na,Ti,F,1.159,1.028,0.673,0.8505,1.331,4.968124130120776,1
Li2NaTiCl6,Li,Na,Ti,Cl,1.159,1.028,0.673,0.8505,1.806,5.526619133060223,1
Li2NaTiBr6,Li,Na,Ti,Br,1.159,1.028,0.673,0.8505,1.955,5.701810197140176,1
Li2NaTiI6,Li,Na,Ti,I,1.159,1.028,0.673,0.8505,2.194,5.982821367040234,1
Li2NaVF6,Li,Na,V,F,1.159,1.028,0.636,0.8320000000000001,1.331,4.802206684863843,1
Li2NaVCl6,Li,Na,V,Cl,1.159,1.028,0.636,0.8320000000000001,1.806,5.373120146402305,1
Li2NaVBr6,Li,Na,V,Br,1.159,1.028,0.636,0.8320000000000001,1.955,5.552206684863844,1
Li2NaVI6,Li,Na,V,I,1.159,1.028,0.636,0.8320000000000001,2.194,5.839466300248459,1
Li2NaCrF6,Li,Na,Cr,F,1.159,1.028,0.618,0.823,1.331,4.7306908710091315,1
Li2NaCrCl6,Li,Na,Cr,Cl,1.159,1.028,0.618,0.823,1.806,5.307847614630031,1
Li2NaCrBr6,Li,Na,Cr,Br,1.159,1.028,0.618,0.823,1.955,5.488892572102692,1
Li2NaCrI6,Li,Na,Cr,I,1.159,1.028,0.618,0.823,2.194,5.779293544156154,1
Li2NaMnF6,Li,Na,Mn,F,1.159,1.028,0.645,0.8365,1.331,4.8401357714991375,1
Li2NaMnCl6,Li,Na,Mn,Cl,1.159,1.028,0.645,0.8365,1.806,5.4079779711405,1
Li2NaMnBr6,Li,Na,Mn,Br,1.159,1.028,0.645,0.8365,1.955,5.586101103238528,1
Li2NaMnI6,Li,Na,Mn,I,1.159,1.028,0.645,0.8365,2.194,5.871815388952813,1
Li2NaFeF6,Li,Na,Fe,F,1.159,1.028,0.646,0.837,1.331,4.844442894105263,1
Li2NaFeCl6,Li,Na,Fe,Cl,1.159,1.028,0.646,0.837,1.806,5.4119458809630885,1
Li2NaFeBr6,Li,Na,Fe,Br,1.159,1.028,0.646,0.837,1.955,5.589962607366912,1
Li2NaFeI6,Li,Na,Fe,I,1.159,1.028,0.646,0.837,2.194,5.875506215491165,1
Li2NaCoF6,Li,Na,Co,F,1.159,1.028,0.612,0.8200000000000001,1.331,4.708083736904803,1
Li2NaCoCl6,Li,Na,Co,Cl,1.159,1.028,0.612,0.8200000000000001,1.806,5.28735202958773,1
Li2NaCoBr6,Li,Na,Co,Br,1.159,1.028,0.612,0.8200000000000001,1.955,5.4690593466609005,1
Li2NaCoI6,Li,Na,Co,I,1.159,1.028,0.612,0.8200000000000001,2.194,5.7605227612950465,1
Li2NaNiF6,Li,Na,Ni,F,1.159,1.028,0.601,0.8145,1.331,4.668165680942106,1
