formula,number,A_Density,B_Density,C_Density,X_Density,A_dipole Polarizability,B_dipole Polarizability,C_dipole Polarizability,X_dipole Polarizability,A_covalent Radius,B_covalent Radius,C_covalent Radius,X_covalent Radius,A_atomic Radius,B_atomic Radius,C_atomic Radius,X_atomic Radius,A_FirstIonization,B_FirstIonization,C_FirstIonization,X_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,C_number of Valence Electrons,X_number of Valence Electrons,A_number,B_number,C_number,X_number,A_Period,B_Period,C_Period,X_Period,A_Electronegativity,B_Electronegativity,C_Electronegativity,X_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,C_number of s+p Electrons,X_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,C_number of d Electrons,X_number of d Electrons,A_Mulliken EN,B_Mulliken EN,C_Mulliken EN,X_Mulliken EN,A-B_Density,A-C_Density,(A+B+C)-X_Density,A-B_dipole Polarizability,A-C_dipole Polarizability,(A+B+C)-X_dipole Polarizability,A-B_covalent Radius,A-C_covalent Radius,(A+B+C)-X_covalent Radius,A-B_atomic Radius,A-C_atomic Radius,(A+B+C)-X_atomic Radius,A-B_FirstIonization,A-C_FirstIonization,(A+B+C)-X_FirstIonization,A-B_number of Valence Electrons,A-C_number of Valence Electrons,(A+B+C)-X_number of Valence Electrons,A-B_number,A-C_number,(A+B+C)-X_number,A-B_Period,A-C_Period,(A+B+C)-X_Period,A-B_Electronegativity,A-C_Electronegativity,(A+B+C)-X_Electronegativity,A-B_number of s+p Electrons,A-C_number of s+p Electrons,(A+B+C)-X_number of s+p Electrons,A-B_number of d Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-B_Mulliken EN,A-C_Mulliken EN,(A+B+C)-X_Mulliken EN
Li2NaBF6,1,1.068,0.971,2.34,0.010199999999999999,328.225,162.7,20.5,22.44,266,155,85,384,2.9,1.8,0.85,3.0,1040.4,495.8,800.6,10086.0,2,1,3,42,6,11,5,54,4,3,2,12,1.96,0.93,2.04,23.88,2,1,3,42,0,0,0,0,6.02,2.85,4.29,62.46,0.09700000000000009,1.2719999999999998,4.368799999999999,165.52500000000003,307.725,488.985,111,181,122,1.0999999999999999,2.05,2.55,544.6000000000001,239.80000000000007,7749.2,1,1,36,5,1,32,1,2,3,1.0299999999999998,0.08000000000000007,18.95,1,1,36,0,0,0,3.1699999999999995,1.7299999999999995,49.3
Li2NaNF6,1,1.068,0.971,0.00125,0.010199999999999999,328.225,162.7,7.4,22.44,266,155,71,384,2.9,1.8,0.65,3.0,1040.4,495.8,1402.3,10086.0,2,1,5,42,6,11,7,54,4,3,2,12,1.96,0.93,3.04,23.88,2,1,5,42,0,0,0,0,6.02,2.85,7.3,62.46,0.09700000000000009,1.06675,2.03005,165.52500000000003,320.82500000000005,475.885,111,195,108,1.0999999999999999,2.25,2.3500000000000005,544.6000000000001,361.89999999999986,7147.5,1,3,34,5,1,30,1,2,3,1.0299999999999998,1.08,17.95,1,3,34,0,0,0,3.1699999999999995,1.2800000000000002,46.290000000000006
Li2CuAlF6,1,1.068,8.96,2.7,0.010199999999999999,328.225,46.5,57.8,22.44,266,112,126,384,2.9,1.35,1.25,3.0,1040.4,745.5,577.5,10086.0,2,11,3,42,6,29,13,54,4,4,3,12,1.96,1.9,1.61,23.88,2,1,3,42,0,10,0,0,6.02,4.48,3.23,62.46,7.892000000000001,1.6320000000000001,12.717800000000002,281.725,270.425,410.08500000000004,154,140,120,1.5499999999999998,1.65,2.5,294.9000000000001,462.9000000000001,7722.6,9,1,26,23,7,6,0,1,1,0.06000000000000005,0.34999999999999987,18.41,1,1,36,10,0,10,1.5399999999999991,2.7899999999999996,48.730000000000004
Li2CuPF6,1,1.068,8.96,1.82,0.010199999999999999,328.225,46.5,25.0,22.44,266,112,111,384,2.9,1.35,1.0,3.0,1040.4,745.5,1011.8,10086.0,2,11,5,42,6,29,15,54,4,4,3,12,1.96,1.9,2.19,23.88,2,1,5,42,0,10,0,0,6.02,4.48,5.62,62.46,7.892000000000001,0.752,11.837800000000001,281.725,303.225,377.285,154,155,105,1.5499999999999998,1.9,2.25,294.9000000000001,28.600000000000136,7288.3,9,3,24,23,9,4,0,1,1,0.06000000000000005,0.22999999999999998,17.83,1,3,34,10,0,10,1.5399999999999991,0.39999999999999947,46.34
Li2CuCrF6,1,1.068,8.96,7.15,0.010199999999999999,328.225,46.5,83.0,22.44,266,112,122,384,2.9,1.35,1.4,3.0,1040.4,745.5,652.9,10086.0,2,11,6,42,6,29,24,54,4,4,4,12,1.96,1.9,1.66,23.88,2,1,1,42,0,10,5,0,6.02,4.48,3.72,62.46,7.892000000000001,6.082000000000001,17.1678,281.725,245.22500000000002,435.285,154,144,116,1.5499999999999998,1.5,2.6500000000000004,294.9000000000001,387.5000000000001,7647.2,9,4,23,23,18,5,0,0,0,0.06000000000000005,0.30000000000000004,18.36,1,1,38,10,5,15,1.5399999999999991,2.2999999999999994,48.24
Li2CuCoF6,1,1.068,8.96,8.86,0.010199999999999999,328.225,46.5,55.0,22.44,266,112,111,384,2.9,1.35,1.35,3.0,1040.4,745.5,760.4,10086.0,2,11,9,42,6,29,27,54,4,4,4,12,1.96,1.9,1.88,23.88,2,1,2,42,0,10,7,0,6.02,4.48,4.3,62.46,7.892000000000001,7.792,18.877799999999997,281.725,273.225,407.285,154,155,105,1.5499999999999998,1.5499999999999998,2.5999999999999996,294.9000000000001,280.0000000000001,7539.7,9,7,20,23,21,8,0,0,0,0.06000000000000005,0.08000000000000007,18.14,1,0,37,10,7,17,1.5399999999999991,1.7199999999999998,47.66
Li2CuNiF6,1,1.068,8.96,8.91,0.010199999999999999,328.225,46.5,49.0,22.44,266,112,110,384,2.9,1.35,1.35,3.0,1040.4,745.5,737.1,10086.0,2,11,10,42,6,29,28,54,4,4,4,12,1.96,1.9,1.91,23.88,2,1,2,42,0,10,8,0,6.02,4.48,4.4,62.46,7.892000000000001,7.8420000000000005,18.9278,281.725,279.225,401.285,154,156,104,1.5499999999999998,1.5499999999999998,2.5999999999999996,294.9000000000001,303.30000000000007,7563.0,9,8,19,23,22,9,0,0,0,0.06000000000000005,0.050000000000000044,18.11,1,0,37,10,8,18,1.5399999999999991,1.6199999999999992,47.56
Li2CuGaF6,1,1.068,8.96,5.91,0.010199999999999999,328.225,46.5,50.0,22.44,266,112,124,384,2.9,1.35,1.3,3.0,1040.4,745.5,578.8,10086.0,2,11,3,42,6,29,31,54,4,4,4,12,1.96,1.9,1.81,23.88,2,1,3,42,0,10,0,0,6.02,4.48,3.2,62.46,7.892000000000001,4.8420000000000005,15.927800000000001,281.725,278.225,402.285,154,142,118,1.5499999999999998,1.5999999999999999,2.55,294.9000000000001,461.60000000000014,7721.3,9,1,26,23,25,12,0,0,0,0.06000000000000005,0.1499999999999999,18.21,1,1,36,10,0,10,1.5399999999999991,2.8199999999999994,48.760000000000005
Li2CuAsF6,1,1.068,8.96,5.78,0.010199999999999999,328.225,46.5,30.0,22.44,266,112,121,384,2.9,1.35,1.15,3.0,1040.4,745.5,947.0,10086.0,2,11,5,42,6,29,33,54,4,4,4,12,1.96,1.9,2.18,23.88,2,1,5,42,0,10,0,0,6.02,4.48,5.3,62.46,7.892000000000001,4.712,15.7978,281.725,298.225,382.285,154,145,115,1.5499999999999998,1.75,2.4000000000000004,294.9000000000001,93.40000000000009,7353.1,9,3,24,23,27,14,0,0,0,0.06000000000000005,0.2200000000000002,17.84,1,3,34,10,0,10,1.5399999999999991,0.7199999999999998,46.66
Li2AgNF6,1,1.068,10.5,0.00125,0.010199999999999999,328.225,55.0,7.4,22.44,266,128,71,384,2.9,1.6,0.65,3.0,1040.4,731.0,1402.3,10086.0,2,11,5,42,6,47,7,54,4,5,2,12,1.96,1.93,3.04,23.88,2,1,5,42,0,10,0,0,6.02,4.44,7.3,62.46,9.432,1.06675,11.559050000000001,273.225,320.82500000000005,368.185,138,195,81,1.2999999999999998,2.25,2.1500000000000004,309.4000000000001,361.89999999999986,6912.3,9,3,24,41,1,6,1,2,1,0.030000000000000027,1.08,16.95,1,3,34,10,0,10,1.5799999999999992,1.2800000000000002,44.7
