,formula,number
6,Rb2TlPBr6,1
7,Rb2TlAsBr6,1
22,Cs2AgTiBr6,1
25,Cs2TlPBr6,1
26,Cs2TlTiBr6,1
27,Cs2TlTiI6,1
29,Cs2TlAsBr6,1
30,Cs2TlAsI6,1
34,Cs2TlSbBr6,1
76,K2BePtF6,2
79,K2NiAgCl6,2
92,Rb2TiCdCl6,2
100,Rb2NiAgCl6,2
102,Rb2GePbCl6,2
107,Rb2NbPbCl6,2
109,Rb2InPbCl6,2
110,Rb2SnPbCl6,2
111,Cs2BePtF6,2
113,Cs2CaVBr6,2
114,Cs2CaCrBr6,2
117,Cs2ScVBr6,2
118,Cs2ScCrBr6,2
121,Cs2TiVBr6,2
122,Cs2TiCrBr6,2
127,Cs2TiEuI6,2
131,Cs2VLaI6,2
136,Cs2MnLaI6,2
137,Cs2MnEuI6,2
142,Cs2GePbBr6,2
144,Cs2SrInI6,2
149,Cs2InSnBr6,2
151,Cs2InPbCl6,2
152,Cs2InPbBr6,2
154,Cs2SnPbCl6,2
155,Cs2SnPbBr6,2
