true_label,pred_label,predict_proba
0,0,0.00
0,0,0.37
1,0,0.33
1,0,0.25
1,1,0.90
0,0,0.03
0,0,0.00
0,0,0.00
0,0,0.02
0,1,0.99
0,0,0.15
0,0,0.07
0,0,0.05
1,1,0.97
0,0,0.05
0,1,0.57
0,0,0.23
0,0,0.01
0,0,0.00
0,0,0.00
1,1,1.00
1,1,1.00
1,1,1.00
1,1,1.00
0,0,0.02
0,0,0.27
1,1,0.98
1,1,0.99
0,1,0.82
0,0,0.00
1,1,0.99
1,1,0.98
1,1,0.53
1,1,0.96
1,1,0.99
1,1,0.85
1,1,0.98
0,0,0.19
0,0,0.47
0,0,0.48
0,0,0.00
1,1,0.98
1,1,1.00
0,0,0.07
1,1,1.00
1,1,1.00
1,1,1.00
0,0,0.49
1,1,0.96
1,1,0.98
0,0,0.09
0,0,0.38
1,1,0.88
1,1,0.99
1,1,0.99
0,0,0.46
1,1,0.95
1,0,0.33
0,0,0.01
0,0,0.00
1,1,1.00
1,0,0.08
0,0,0.00
1,1,0.99
1,1,0.99
0,0,0.30
1,1,0.99
1,1,0.52
0,1,0.95
1,1,0.91
1,1,0.87
1,1,0.94
1,1,0.95
0,1,0.97
1,1,0.96
0,0,0.12
0,0,0.00
1,1,0.99
1,1,1.00
1,0,0.02
1,1,0.95
1,1,0.81
0,0,0.00
0,0,0.38
0,0,0.02
1,1,1.00
1,1,1.00
0,0,0.25
1,1,0.97
0,0,0.03
0,0,0.02
1,0,0.01
0,0,0.02
0,0,0.00
0,0,0.21
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.04
1,0,0.05
0,0,0.09
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.12
0,0,0.00
1,0,0.35
0,0,0.00
1,1,0.85
1,0,0.19
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,1,0.98
1,1,0.93
0,0,0.01
0,0,0.23
0,0,0.01
0,0,0.00
1,1,0.58
1,1,0.80
1,1,0.56
0,0,0.00
0,0,0.01
1,0,0.08
0,0,0.00
0,0,0.00
0,0,0.06
1,1,0.66
1,0,0.22
1,1,0.99
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.35
0,0,0.06
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.04
0,0,0.39
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,1,0.92
0,1,0.95
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
1,0,0.05
0,1,0.89
0,0,0.38
1,1,0.97
0,0,0.03
0,0,0.02
1,0,0.02
0,0,0.00
0,0,0.00
0,0,0.17
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.01
1,1,0.88
1,1,1.00
1,1,0.74
1,1,0.99
0,0,0.01
1,1,0.95
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.33
0,0,0.09
0,1,0.75
1,1,0.80
0,0,0.00
1,1,0.98
1,1,0.99
0,0,0.45
1,1,0.91
0,0,0.02
0,0,0.27
1,1,1.00
1,1,0.97
1,1,1.00
0,1,0.90
0,0,0.00
1,0,0.15
0,0,0.40
0,0,0.00
0,0,0.00
0,0,0.06
1,1,0.90
1,1,0.52
1,1,0.99
0,1,0.89
1,0,0.08
0,1,0.70
0,0,0.01
1,1,0.51
0,0,0.02
0,0,0.01
1,1,0.98
0,0,0.08
0,0,0.08
1,1,0.55
0,0,0.00
1,0,0.00
0,0,0.04
0,0,0.01
