B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
10.5,30.0,1.15,33.0,2.0,5.0,2.04,760.8,1.0500000000000016,24.0,77.0,7.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,1
10.5,36.0,1.35,79.0,2.0,1.0,15.56,870.3599999999999,5.15,18.0,31.0,7.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
10.5,48.0,1.6,83.0,2.0,5.0,6.07,882.3599999999999,5.4,24.0,27.0,7.0,0.4399999999999999,3.0,10.0,20.0,0.33,1
10.5,48.0,1.6,83.0,2.0,5.0,6.07,707.4,1.7763568394002505e-15,24.0,27.0,7.0,0.4399999999999999,3.0,10.0,40.0,0.33,0
6.77,55.0,1.6,47.0,2.0,1.0,6.76,864.4,0.2500000000000018,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,49.0,0.08,1
8.96,48.0,1.6,83.0,2.0,5.0,6.07,808.6999999999999,2.1500000000000004,24.0,27.0,8.0,0.4399999999999999,3.0,10.0,20.0,0.33,0
8.96,48.0,1.6,83.0,2.0,5.0,6.07,698.9,0.2499999999999982,24.0,27.0,8.0,0.4399999999999999,3.0,10.0,40.0,0.33,0
8.96,87.0,1.45,42.0,2.0,1.0,6.459999999999999,847.6999999999999,2.0,23.0,68.0,8.0,0.5800000000000001,1.0,5.0,15.0,0.4600000000000004,0
8.96,43.0,1.45,51.0,2.0,5.0,2.95,765.3,1.1000000000000003,24.0,59.0,8.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
8.96,43.0,1.45,51.0,2.0,5.0,2.95,803.6999999999999,2.0,24.0,59.0,8.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
13.5,48.0,1.6,83.0,2.0,5.0,6.07,757.7099999999999,1.4000000000000012,23.0,27.0,6.0,0.4399999999999999,3.0,10.0,20.0,0.33,0
13.5,43.0,1.45,51.0,2.0,5.0,2.95,681.31,0.2499999999999982,23.0,59.0,6.0,0.4699999999999997,3.0,10.0,40.0,0.4899999999999993,0
7.31,55.0,1.6,47.0,2.0,1.0,6.76,795.8,1.4500000000000002,26.0,63.0,7.0,0.3499999999999998,1.0,10.0,20.0,0.08,1
7.31,46.5,1.35,29.0,2.0,1.0,5.220000000000001,787.3,1.2000000000000002,26.0,81.0,7.0,0.3199999999999998,1.0,10.0,20.0,0.1200000000000001,1
0.862,57.8,1.25,13.0,2.0,3.0,1.04,1126.86,5.65,36.0,97.0,8.0,0.03,1.0,0.0,0.0,1.1300000000000003,1
0.862,30.0,1.15,33.0,2.0,5.0,2.04,924.1,0.1500000000000021,34.0,77.0,8.0,0.6000000000000001,3.0,0.0,60.0,0.9399999999999996,0
