true_label,pred_label,predict_proba
0,0,0.13
0,0,0.01
1,1,0.90
0,0,0.28
0,0,0.00
0,0,0.02
0,0,0.00
0,0,0.00
0,0,0.00
0,0,0.22
0,1,0.52
1,1,1.00
0,0,0.11
1,1,1.00
0,0,0.00
1,1,1.00
0,0,0.01
1,1,0.94
1,1,1.00
1,0,0.19
0,0,0.17
1,0,0.31
1,1,0.97
0,0,0.03
0,0,0.15
0,1,0.57
0,0,0.01
0,0,0.39
0,0,0.12
1,1,0.71
1,1,0.71
0,0,0.30
1,1,1.00
0,0,0.44
0,0,0.00
0,0,0.01
1,0,0.25
0,0,0.00
0,0,0.00
0,0,0.05
1,1,0.91
0,0,0.00
0,0,0.41
0,0,0.02
1,1,0.89
0,0,0.00
0,0,0.09
1,1,0.97
0,0,0.05
0,0,0.07
0,1,0.57
0,0,0.34
0,0,0.02
1,0,0.41
0,0,0.02
1,0,0.20
0,0,0.03
1,1,0.54
0,0,0.05
0,0,0.32
0,0,0.30
1,0,0.37
0,0,0.48
0,0,0.42
1,1,0.97
1,1,0.89
0,1,0.71
0,0,0.04
0,0,0.31
0,0,0.20
0,0,0.11
0,0,0.48
0,0,0.13
0,0,0.00
0,0,0.41
0,0,0.00
1,1,1.00
0,0,0.03
0,1,1.00
1,0,0.12
0,0,0.00
1,1,0.68
1,0,0.36
0,1,0.77
1,0,0.18
0,0,0.04
0,0,0.45
1,1,1.00
0,0,0.38
1,1,0.81
1,1,0.95
0,0,0.00
0,0,0.12
1,1,0.91
0,1,0.60
0,0,0.00
0,0,0.01
0,1,0.65
0,1,0.77
1,1,0.94
0,0,0.42
0,0,0.01
0,0,0.17
1,0,0.40
0,0,0.01
0,0,0.42
0,0,0.00
0,0,0.00
0,0,0.07
0,0,0.17
0,0,0.10
1,1,1.00
0,0,0.01
0,0,0.00
0,0,0.17
1,1,0.75
1,1,0.65
0,0,0.33
0,0,0.10
0,0,0.17
0,0,0.41
0,0,0.01
0,0,0.17
0,0,0.03
1,1,0.73
0,0,0.01
0,0,0.01
1,0,0.18
0,0,0.14
1,1,0.93
0,0,0.07
0,0,0.00
1,0,0.03
1,1,0.80
0,0,0.00
1,1,0.77
0,0,0.21
1,1,1.00
1,1,0.96
0,0,0.04
0,0,0.07
0,0,0.04
0,0,0.00
0,0,0.03
1,1,1.00
0,0,0.00
0,0,0.00
1,1,1.00
