formation_energy_peratom,MagpieData_minimum_Number,MagpieData_maximum_Number,MagpieData_range_Number,MagpieData_maximum_MeltingT,MagpieData_mean_MeltingT,MagpieData_avg_dev_MeltingT,MagpieData_range_Column,MagpieData_maximum_Electronegativity,MagpieData_minimum_NsValence,MagpieData_maximum_NsValence,MagpieData_minimum_NpValence,MagpieData_range_NpValence,MagpieData_mean_NdValence,MagpieData_minimum_NfValence,MagpieData_range_NfValence,MagpieData_mean_NfValence,MagpieData_maximum_NValence,MagpieData_range_NValence,MagpieData_avg_dev_NValence,MagpieData_minimum_NpUnfilled,MagpieData_minimum_NdUnfilled,MagpieData_mean_NdUnfilled,MagpieData_mode_NdUnfilled,MagpieData_maximum_NfUnfilled,MagpieData_minimum_NUnfilled,MagpieData_mode_NUnfilled,MagpieData_minimum_GSbandgap,MagpieData_maximum_GSbandgap,MagpieData_range_GSbandgap,MagpieData_maximum_GSmagmom,compound_possible,target
-3.02565,8.0,38.0,30.0,1050.0,552.4,497.6,14.0,3.44,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-1.46013,52.0,60.0,8.0,1294.0,1008.33,285.67,13.0,2.1,2.0,2.0,0.0,4.0,5.0,0.0,4.0,2.0,16.0,10.0,5.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.464,0.464,0.0,0.0,1
-1.63611,33.0,57.0,24.0,1193.0,1141.5,51.5,12.0,2.18,2.0,2.0,0.0,3.0,5.5,0.0,0.0,0.0,15.0,12.0,6.0,0.0,0.0,4.5,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0
-1.05199,19.0,78.0,59.0,2041.4,478.8066666666667,347.242962962963,16.0,2.96,1.0,2.0,0.0,5.0,7.666666666666667,0.0,14.0,1.5555555555555556,24.0,23.0,5.876543209876544,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0,1.457,1.457,0.0,1.0,1
-0.5317000000000001,19.0,55.0,36.0,903.78,469.6075,217.08625,14.0,2.05,1.0,2.0,0.0,3.0,2.5,0.0,0.0,0.0,15.0,14.0,5.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
-0.61136,56.0,82.0,26.0,1000.0,708.7325000000001,291.26750000000004,12.0,2.33,2.0,2.0,0.0,2.0,5.0,0.0,14.0,7.0,28.0,26.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-1.56595,17.0,83.0,66.0,1000.0,679.0,321.0,15.0,3.16,2.0,2.0,0.0,5.0,2.5,0.0,14.0,3.5,29.0,27.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.493,2.493,0.0,0.0,1
-2.07202,17.0,37.0,20.0,312.46,242.03,70.42999999999999,16.0,3.16,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,0
-1.48342,35.0,83.0,48.0,1000.0,702.5500000000001,297.45,15.0,2.96,2.0,2.0,0.0,5.0,5.0,0.0,14.0,3.5,29.0,27.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457,1.457,0.0,0.0,1
-1.88789,17.0,22.0,5.0,1941.0,404.8511111111111,341.3664197530864,16.0,3.16,1.0,2.0,0.0,5.0,0.2222222222222222,0.0,0.0,0.0,7.0,6.0,2.2222222222222223,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,0.0,2.493,2.493,2.25333333333e-05,1.0,0
