formula,number
Li2CuAlF6,1
Li2CuPF6,1
Li2CuCrF6,1
Li2CuGaF6,1
Li2CuAsF6,1
Na2LiNbF6,1
Na2LiMoF6,1
Na2LiTaF6,1
Na2LiAuF6,1
Na2LiYbF6,1
Na2CuAlF6,1
Na2CuPF6,1
Na2CuVF6,1
Na2CuCrF6,1
Na2CuGaF6,1
Na2CuAsF6,1
Na2CuNbF6,1
Na2CuIrF6,1
Na2AgNiF6,1
Na2HgBF6,1
Na2HgNF6,1
Na2HgPF6,1
K2LiNbF6,1
K2LiMoF6,1
K2LiInCl6,1
K2LiTaF6,1
K2LiAuF6,1
K2LiYbF6,1
K2LiYbCl6,1
K2LiLuF6,1
K2NaTiF6,1
K2NaTiCl6,1
K2NaMnF6,1
K2NaMnCl6,1
K2NaNiCl6,1
K2NaCuF6,1
K2NaNbF6,1
K2NaMoF6,1
K2NaRhF6,1
K2NaTaF6,1
K2NaTaCl6,1
K2NaAuF6,1
K2NaYbF6,1
K2NaYbCl6,1
K2CuAlF6,1
K2CuPF6,1
K2CuCrF6,1
K2CuGaF6,1
K2CuAsF6,1
K2CuPdCl6,1
K2CuSbCl6,1
K2CuYbF6,1
K2CuLuCl6,1
K2RbMnF6,1
K2RbNbF6,1
K2RbMoF6,1
K2RbRhF6,1
K2RbTaF6,1
K2AgNiF6,1
K2AgNiCl6,1
K2AgAuF6,1
K2AgYbF6,1
K2AuBCl6,1
K2AuFeCl6,1
K2AuCoCl6,1
K2AuNiCl6,1
K2AuMoCl6,1
K2AuRuCl6,1
K2AuRhCl6,1
K2AuPdF6,1
K2AuAgF6,1
K2AuTaF6,1
K2AuIrF6,1
K2AuIrCl6,1
K2AuYbF6,1
K2HgBF6,1
K2HgBCl6,1
K2HgNF6,1
K2HgNCl6,1
K2HgAlF6,1
K2HgAlCl6,1
K2HgPF6,1
K2HgPCl6,1
K2HgScF6,1
K2HgTiF6,1
K2HgTiCl6,1
K2HgVF6,1
K2HgVCl6,1
K2HgCrF6,1
K2HgCrCl6,1
K2HgMnF6,1
K2HgMnCl6,1
K2HgFeF6,1
K2HgFeCl6,1
K2HgCoF6,1
K2HgCoCl6,1
K2HgNiF6,1
K2HgNiCl6,1
K2HgCuF6,1
K2HgCuCl6,1
K2HgGaF6,1
K2HgGaCl6,1
K2HgYF6,1
K2HgNbF6,1
K2HgMoF6,1
K2HgMoCl6,1
K2HgRuF6,1
K2HgRuCl6,1
K2HgRhF6,1
K2HgRhCl6,1
K2HgPdF6,1
K2HgAgF6,1
K2HgInF6,1
K2HgTaF6,1
K2HgIrF6,1
K2HgIrCl6,1
K2HgAuF6,1
K2HgTlF6,1
K2HgTbF6,1
K2HgDyF6,1
K2HgHoF6,1
K2HgErF6,1
K2HgTmF6,1
K2HgYbF6,1
K2HgLuF6,1
K2TlAgF6,1
Rb2LiNbF6,1
Rb2LiMoF6,1
Rb2LiInCl6,1
Rb2LiTaF6,1
Rb2LiAuF6,1
Rb2LiCeBr6,1
Rb2LiPrBr6,1
Rb2LiNdBr6,1
Rb2LiPmBr6,1
Rb2LiSmBr6,1
Rb2LiEuBr6,1
Rb2LiGdBr6,1
Rb2LiYbF6,1
Rb2LiYbCl6,1
Rb2LiUBr6,1
Rb2NaTiBr6,1
Rb2NaNiCl6,1
Rb2NaNbF6,1
Rb2NaNbBr6,1
Rb2NaMoF6,1
Rb2NaMoBr6,1
Rb2NaRhF6,1
Rb2NaPdBr6,1
Rb2NaAgBr6,1
Rb2NaTaF6,1
Rb2NaTaCl6,1
Rb2NaTaBr6,1
Rb2NaIrBr6,1
Rb2NaAuF6,1
Rb2NaAuBr6,1
Rb2NaPrBr6,1
Rb2NaNdBr6,1
Rb2NaPmBr6,1
Rb2NaSmBr6,1
Rb2NaEuBr6,1
Rb2NaGdBr6,1
Rb2NaTbBr6,1
Rb2NaDyBr6,1
Rb2NaHoBr6,1
Rb2NaErBr6,1
Rb2NaTmBr6,1
Rb2NaYbF6,1
Rb2NaYbCl6,1
Rb2NaYbBr6,1
Rb2NaLuBr6,1
Rb2NaUBr6,1
Rb2KTiBr6,1
Rb2KVBr6,1
Rb2KMnBr6,1
Rb2KNiCl6,1
Rb2KNiBr6,1
Rb2KCuBr6,1
Rb2KMoBr6,1
Rb2KTaF6,1
Rb2KIrBr6,1
Rb2CuAlF6,1
Rb2CuPF6,1
Rb2CuAsF6,1
Rb2CuPdCl6,1
Rb2CuSbCl6,1
Rb2CuBiBr6,1
Rb2CuLaBr6,1
Rb2CuCeBr6,1
Rb2CuPrBr6,1
Rb2CuNdBr6,1
Rb2CuPmBr6,1
Rb2CuSmBr6,1
Rb2CuEuBr6,1
Rb2CuGdBr6,1
Rb2CuTbBr6,1
Rb2CuDyBr6,1
Rb2CuLuCl6,1
Rb2CuUBr6,1
Rb2AgTiBr6,1
Rb2AgVBr6,1
Rb2AgMnBr6,1
Rb2AgNiF6,1
Rb2AgNiCl6,1
Rb2AgNiBr6,1
Rb2AgCuBr6,1
Rb2AgNbBr6,1
Rb2AgMoBr6,1
Rb2AgPdBr6,1
Rb2AgTaBr6,1
Rb2AgIrBr6,1
Rb2AgAuF6,1
Rb2AgAuBr6,1
Rb2AgTlBr6,1
Rb2AgEuBr6,1
Rb2AgGdBr6,1
Rb2AgTbBr6,1
Rb2AgDyBr6,1
Rb2AgHoBr6,1
Rb2AgErBr6,1
Rb2AgTmBr6,1
Rb2AgYbF6,1
Rb2AgYbBr6,1
Rb2AgLuBr6,1
Rb2CsNiF6,1
Rb2CsNbF6,1
Rb2CsMoF6,1
Rb2CsTaF6,1
Rb2AuBCl6,1
Rb2AuAlBr6,1
Rb2AuPBr6,1
Rb2AuScBr6,1
Rb2AuTiBr6,1
Rb2AuVBr6,1
Rb2AuCrBr6,1
Rb2AuMnBr6,1
Rb2AuFeCl6,1
Rb2AuFeBr6,1
Rb2AuCoCl6,1
Rb2AuCoBr6,1
Rb2AuNiCl6,1
Rb2AuNiBr6,1
Rb2AuCuBr6,1
Rb2AuGaBr6,1
Rb2AuAsBr6,1
Rb2AuNbBr6,1
Rb2AuMoCl6,1
Rb2AuMoBr6,1
Rb2AuRuCl6,1
Rb2AuRuBr6,1
Rb2AuRhCl6,1
Rb2AuRhBr6,1
Rb2AuPdF6,1
Rb2AuPdCl6,1
Rb2AuAgF6,1
Rb2AuTaF6,1
Rb2AuTaCl6,1
Rb2AuTaBr6,1
Rb2AuIrF6,1
Rb2AuIrCl6,1
Rb2AuIrBr6,1
Rb2AuYbF6,1
Rb2AuYbCl6,1
Rb2AuLuCl6,1
Rb2HgBF6,1
Rb2HgBCl6,1
Rb2HgNF6,1
Rb2HgNCl6,1
Rb2HgAlF6,1
Rb2HgAlCl6,1
Rb2HgAlBr6,1
Rb2HgPF6,1
Rb2HgPCl6,1
Rb2HgPBr6,1
Rb2HgScF6,1
Rb2HgScCl6,1
Rb2HgTiF6,1
Rb2HgTiCl6,1
Rb2HgTiBr6,1
Rb2HgVF6,1
Rb2HgVCl6,1
Rb2HgVBr6,1
Rb2HgCrF6,1
Rb2HgCrCl6,1
Rb2HgCrBr6,1
Rb2HgMnF6,1
Rb2HgMnCl6,1
Rb2HgMnBr6,1
Rb2HgFeF6,1
Rb2HgFeCl6,1
Rb2HgFeBr6,1
Rb2HgCoF6,1
Rb2HgCoCl6,1
Rb2HgCoBr6,1
Rb2HgNiF6,1
Rb2HgNiCl6,1
Rb2HgNiBr6,1
Rb2HgCuF6,1
Rb2HgCuCl6,1
Rb2HgCuBr6,1
Rb2HgGaF6,1
Rb2HgGaCl6,1
Rb2HgGaBr6,1
Rb2HgAsBr6,1
Rb2HgYF6,1
Rb2HgNbF6,1
Rb2HgNbCl6,1
Rb2HgNbBr6,1
Rb2HgMoF6,1
Rb2HgMoCl6,1
Rb2HgMoBr6,1
Rb2HgRuF6,1
Rb2HgRuCl6,1
Rb2HgRuBr6,1
Rb2HgRhF6,1
Rb2HgRhCl6,1
Rb2HgRhBr6,1
Rb2HgPdF6,1
Rb2HgPdCl6,1
Rb2HgAgF6,1
Rb2HgAgCl6,1
Rb2HgInF6,1
Rb2HgInCl6,1
Rb2HgTaF6,1
Rb2HgTaCl6,1
Rb2HgTaBr6,1
Rb2HgIrF6,1
Rb2HgIrCl6,1
Rb2HgIrBr6,1
Rb2HgAuF6,1
Rb2HgAuCl6,1
Rb2HgTlF6,1
Rb2HgBiF6,1
Rb2HgLaF6,1
Rb2HgCeF6,1
Rb2HgPrF6,1
Rb2HgNdF6,1
Rb2HgPmF6,1
Rb2HgSmF6,1
Rb2HgEuF6,1
Rb2HgGdF6,1
Rb2HgTbF6,1
Rb2HgDyF6,1
Rb2HgHoF6,1
Rb2HgErF6,1
Rb2HgTmF6,1
Rb2HgYbF6,1
Rb2HgLuF6,1
Rb2HgLuCl6,1
Rb2HgUF6,1
Rb2TlAlBr6,1
Rb2TlPBr6,1
Rb2TlNiCl6,1
Rb2TlNiBr6,1
Rb2TlAsBr6,1
Rb2TlNbCl6,1
Rb2TlPdF6,1
Rb2TlTaCl6,1
Rb2TlYbF6,1
Ag2LiNiF6,1
Ag2LiCuF6,1
Ag2LiTaF6,1
Ag2LiAuF6,1
Ag2LiTlF6,1
Ag2LiErF6,1
Ag2LiTmF6,1
Ag2LiYbF6,1
Ag2LiLuF6,1
Ag2LiUF6,1
Ag2NaNiF6,1
Ag2NaTaF6,1
Ag2NaAuF6,1
Ag2NaTlF6,1
Ag2NaTmF6,1
Ag2NaYbF6,1
Ag2KNiF6,1
Cs2LiNbF6,1
Cs2LiMoF6,1
Cs2LiInCl6,1
Cs2LiSbBr6,1
Cs2LiTaF6,1
Cs2LiTaCl6,1
Cs2LiAuF6,1
Cs2LiCeBr6,1
Cs2LiPrBr6,1
Cs2LiNdBr6,1
Cs2LiPmBr6,1
Cs2LiSmBr6,1
Cs2LiEuBr6,1
Cs2LiGdBr6,1
Cs2LiTbBr6,1
Cs2LiDyBr6,1
Cs2LiHoBr6,1
Cs2LiErBr6,1
Cs2LiTmBr6,1
Cs2LiYbF6,1
Cs2LiYbCl6,1
Cs2LiYbBr6,1
Cs2LiLuBr6,1
Cs2LiUBr6,1
Cs2NaTiBr6,1
Cs2NaVBr6,1
Cs2NaMnBr6,1
Cs2NaNiCl6,1
Cs2NaNiBr6,1
Cs2NaCuBr6,1
Cs2NaNbF6,1
Cs2NaNbBr6,1
Cs2NaMoF6,1
Cs2NaMoBr6,1
Cs2NaRhF6,1
Cs2NaPdBr6,1
Cs2NaAgBr6,1
Cs2NaTaF6,1
