jid,formula,spg_number,formation_energy_peratom,optb88vdw_bandgap,ehull,slme
JVASP-1996,NaI,225,-1.35798,3.851,0.009,0.0
JVASP-21210,Xe,225,9e-05,6.149,0.0,0.0
JVASP-1390,SrO,225,-3.02565,3.405,0.0,0.0
JVASP-90336,Sr2H6Os,225,-0.6293700000000001,2.398,0.0,5.95
JVASP-37031,TiFe2Sb,225,-0.23465,0.0,0.0465,5.84
JVASP-14789,NdTe,225,-1.46013,0.0,0.0,25.12
JVASP-18944,LaAs,225,-1.63611,0.0,0.0,7.21
JVASP-14757,Li,225,-0.00017,0.0,0.0,0.0
JVASP-3657,Rb2PtCl6,225,-1.32195,1.716,0.0,17.84
JVASP-22649,Rb2SnBr6,225,-1.27064,0.983,0.0,18.43
JVASP-1291,YbO,225,-3.61377,3.581,0.0,0.0
JVASP-88019,EuF2,225,-3.53085,0.0,0.3498,0.0
JVASP-22561,Cs2TeI6,225,-0.8819400000000001,1.224,0.0,30.45
JVASP-1399,Li2Te,225,-1.11192,2.605,0.0,4.13
JVASP-3834,K2PtBr6,225,-1.05199,1.113,0.0,25.23
JVASP-98414,Mg7TiH16,225,-0.22603,0.0,0.0967,7.93
JVASP-1363,TmN,225,-2.04937,0.268,0.0,33.3
JVASP-1405,CaO,225,-3.27314,3.742,0.0,0.0
JVASP-22672,CsK2Sb,225,-0.5317000000000001,1.207,0.0,22.01
JVASP-91670,PbSe,225,-0.59552,0.76,0.0,33.81
JVASP-85389,CdPdC6N6,225,0.48884,4.16,0.5548000000000001,0.0
JVASP-69037,Ba2HgPb,225,-0.61136,0.0,0.0001,5.84
JVASP-3864,Rb2TiCl6,225,-1.92315,2.016,0.0,12.38
JVASP-3555,Rb2TeCl6,225,-1.34902,2.448,0.0,5.18
JVASP-3282,Rb2PdF6,225,-2.26255,2.176,0.0,18.11
JVASP-65633,Ba2BiCl,225,-1.56595,0.992,0.0655,32.7
JVASP-3870,Rb2SeCl6,225,-1.21556,2.395,0.0,5.53
JVASP-3876,Rb2ZrCl6,225,-2.07809,3.488,0.0,0.01
JVASP-91965,CaPbF6,225,-2.7603,3.477,0.0,0.0
JVASP-1999,RbCl,225,-2.07202,5.075,0.019,0.0
JVASP-1357,SrTe,225,-1.85517,1.772,0.0,16.36
JVASP-3879,Tl2SnCl6,225,-1.06573,2.148,0.0,2.73
JVASP-69329,Ba2BiBr,225,-1.48342,0.939,0.0201,33.26
