formula,number,formation_energy_peratom
Li2NaBF6,1,-2.966207431520129
Li2NaNF6,1,-1.8571304888289615
Li2CuAlF6,1,-2.5950287184963674
Li2CuPF6,1,-2.1338054137867077
Li2CuCrF6,1,-2.375859822579203
Li2CuCoF6,1,-2.2454477102539867
Li2CuNiF6,1,-2.2489851588333334
Li2CuGaF6,1,-2.420727682667091
Li2CuAsF6,1,-2.0355970140833293
Li2AgNF6,1,-2.111475250746951
Na2LiAlF6,1,-3.4082278050000037
Na2LiPF6,1,-2.573220602043232
Na2LiScF6,1,-3.4841039686091917
Na2LiTiF6,1,-3.2332862724425295
Na2LiVF6,1,-3.0168930441092003
Na2LiCrF6,1,-3.0483200341091905
Na2LiMnF6,1,-2.8742334399022984
Na2LiFeF6,1,-2.890331217487809
Na2LiCoF6,1,-2.6840503618486906
Na2LiNiF6,1,-2.5798927540833394
Na2LiCuF6,1,-2.5579647875018594
Na2LiGaF6,1,-3.0168220898591995
Na2LiAsF6,1,-2.6205924429166623
Na2LiYF6,1,-3.4565773758746303
Na2LiNbF6,1,-2.863990714541671
Na2LiMoF6,1,-2.9062539904037554
Na2LiRuF6,1,-2.6032229180674484
Na2LiRhF6,1,-2.55309336810919
Na2LiPdF6,1,-2.3548900525833347
Na2LiAgF6,1,-2.4830223418908073
Na2LiInF6,1,-2.894276416775861
Na2LiSbF6,1,-2.754044892109195
Na2LiTaF6,1,-2.8579559179225282
Na2LiIrF6,1,-2.3862684070666655
Na2LiAuF6,1,-2.2244519961091958
Na2LiTlF6,1,-2.5555171004166657
Na2LiBiF6,1,-2.8033784266782797
Na2LiLaF6,1,-3.4168195385691873
Na2LiCeF6,1,-3.432136592972205
Na2LiPrF6,1,-3.4522346698436253
Na2LiNdF6,1,-3.453249340054976
Na2LiPmF6,1,-3.4571696848156312
Na2LiSmF6,1,-3.4560868715774644
Na2LiEuF6,1,-3.4564269092953603
Na2LiGdF6,1,-3.455966218489516
Na2LiTbF6,1,-3.4563756456905566
Na2LiDyF6,1,-3.458302734289723
Na2LiHoF6,1,-3.458459230058056
Na2LiErF6,1,-3.448823421511171
Na2LiTmF6,1,-3.4415279644024124
Na2LiYbF6,1,-3.359635489787901
Na2LiLuF6,1,-3.41571304591387
Na2LiUF6,1,-3.3230440013116604
Na2KBF6,1,-2.9768140523007065
Na2KNF6,1,-1.8237887722946389
Na2KPF6,1,-2.593076988568362
Na2CuAlF6,1,-2.6393998515117927
Na2CuPF6,1,-2.1935733485844002
Na2CuScF6,1,-2.736093532483004
Na2CuTiF6,1,-2.575297086651479
Na2CuVF6,1,-2.415165371510197
Na2CuCrF6,1,-2.4398202996543743
Na2CuMnF6,1,-2.316268232231492
Na2CuFeF6,1,-2.3191841666136774
Na2CuCoF6,1,-2.2903898496969943
Na2CuNiF6,1,-2.2908749187793678
Na2CuGaF6,1,-2.46848732951954
Na2CuAsF6,1,-2.157268414375003
Na2CuYF6,1,-2.7631378593146954
Na2CuNbF6,1,-2.4203508828040956
Na2CuMoF6,1,-2.3414344724999974
Na2CuRuF6,1,-2.1409124332943383
Na2CuRhF6,1,-2.1368060489422005
