A_Density,B_Density,C_Density,X_Density,A_dipole Polarizability,B_dipole Polarizability,C_dipole Polarizability,X_dipole Polarizability,A_covalent Radius,B_covalent Radius,C_covalent Radius,X_covalent Radius,A_atomic Radius,B_atomic Radius,C_atomic Radius,X_atomic Radius,A_FirstIonization,B_FirstIonization,C_FirstIonization,X_FirstIonization,A_number of Valence Electrons,B_number of Valence Electrons,C_number of Valence Electrons,X_number of Valence Electrons,A_number,B_number,C_number,X_number,A_Period,B_Period,C_Period,X_Period,A_Electronegativity,B_Electronegativity,C_Electronegativity,X_Electronegativity,A_number of s+p Electrons,B_number of s+p Electrons,C_number of s+p Electrons,X_number of s+p Electrons,A_number of d Electrons,B_number of d Electrons,C_number of d Electrons,X_number of d Electrons,A_Mulliken EN,B_Mulliken EN,C_Mulliken EN,X_Mulliken EN,A-B_Density,A-C_Density,(A+B+C)-X_Density,A-B_dipole Polarizability,A-C_dipole Polarizability,(A+B+C)-X_dipole Polarizability,A-B_covalent Radius,A-C_covalent Radius,(A+B+C)-X_covalent Radius,A-B_atomic Radius,A-C_atomic Radius,(A+B+C)-X_atomic Radius,A-B_FirstIonization,A-C_FirstIonization,(A+B+C)-X_FirstIonization,A-B_number of Valence Electrons,A-C_number of Valence Electrons,(A+B+C)-X_number of Valence Electrons,A-B_number,A-C_number,(A+B+C)-X_number,A-B_Period,A-C_Period,(A+B+C)-X_Period,A-B_Electronegativity,A-C_Electronegativity,(A+B+C)-X_Electronegativity,A-B_number of s+p Electrons,A-C_number of s+p Electrons,(A+B+C)-X_number of s+p Electrons,A-B_number of d Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-B_Mulliken EN,A-C_Mulliken EN,(A+B+C)-X_Mulliken EN
3.74,10.5,5.78,18.72,801.8,55.0,30.0,126.0,464,128,121,684,5.2,1.6,1.15,6.8999999999999995,751.4,731.0,947.0,6839.400000000001,2,11,5,42,110,47,33,210,12,5,4,24,1.58,1.93,2.18,17.759999999999998,2,1,5,42,0,10,0,0,4.36,4.44,5.3,45.54,6.76,2.04,1.3000000000000007,746.8,771.8,760.8,336,343,29,3.6,4.050000000000001,1.0500000000000016,20.399999999999977,195.60000000000002,4410.0,9,3,24,63,77,20,7,8,3,0.34999999999999987,0.6000000000000001,12.069999999999999,1,3,34,10,0,10,0.08000000000000007,0.9399999999999995,31.439999999999998
3.74,10.5,5.78,0.01926,801.8,55.0,30.0,87.6,464,128,121,594,5.2,1.6,1.15,6.0,751.4,731.0,947.0,7507.200000000001,2,11,5,42,110,47,33,102,12,5,4,18,1.58,1.93,2.18,18.96,2,1,5,42,0,10,0,0,4.36,4.44,5.3,49.800000000000004,6.76,2.04,20.00074,746.8,771.8,799.1999999999999,336,343,119,3.6,4.050000000000001,1.950000000000001,20.399999999999977,195.60000000000002,5077.800000000001,9,3,24,63,77,88,7,8,3,0.34999999999999987,0.6000000000000001,13.270000000000001,1,3,34,10,0,10,0.08000000000000007,0.9399999999999995,35.7
3.74,10.5,5.78,0.010199999999999999,801.8,55.0,30.0,22.44,464,128,121,384,5.2,1.6,1.15,3.0,751.4,731.0,947.0,10086.0,2,11,5,42,110,47,33,54,12,5,4,12,1.58,1.93,2.18,23.88,2,1,5,42,0,10,0,0,4.36,4.44,5.3,62.46,6.76,2.04,20.0098,746.8,771.8,864.3599999999999,336,343,329,3.6,4.050000000000001,4.950000000000001,20.399999999999977,195.60000000000002,7656.6,9,3,24,63,77,136,7,8,9,0.34999999999999987,0.6000000000000001,18.189999999999998,1,3,34,10,0,10,0.08000000000000007,0.9399999999999995,48.36
3.74,10.5,19.3,18.72,801.8,55.0,36.0,126.0,464,128,124,684,5.2,1.6,1.35,6.8999999999999995,751.4,731.0,890.1,6839.400000000001,2,11,11,42,110,47,79,210,12,5,6,24,1.58,1.93,2.54,17.759999999999998,2,1,1,42,0,10,10,0,4.36,4.44,5.77,45.54,6.76,15.56,14.82,746.8,765.8,766.8,336,340,32,3.6,3.85,1.2500000000000009,20.399999999999977,138.70000000000005,4466.900000000001,9,9,18,63,31,26,7,6,1,0.34999999999999987,0.96,11.709999999999997,1,1,38,10,10,20,0.08000000000000007,1.4099999999999993,30.97
3.74,10.5,19.3,0.01926,801.8,55.0,36.0,87.6,464,128,124,594,5.2,1.6,1.35,6.0,751.4,731.0,890.1,7507.200000000001,2,11,11,42,110,47,79,102,12,5,6,18,1.58,1.93,2.54,18.96,2,1,1,42,0,10,10,0,4.36,4.44,5.77,49.800000000000004,6.76,15.56,33.520739999999996,746.8,765.8,805.1999999999999,336,340,122,3.6,3.85,2.1500000000000004,20.399999999999977,138.70000000000005,5134.700000000001,9,9,18,63,31,134,7,6,5,0.34999999999999987,0.96,12.91,1,1,38,10,10,20,0.08000000000000007,1.4099999999999993,35.230000000000004
3.74,10.5,19.3,0.010199999999999999,801.8,55.0,36.0,22.44,464,128,124,384,5.2,1.6,1.35,3.0,751.4,731.0,890.1,10086.0,2,11,11,42,110,47,79,54,12,5,6,12,1.58,1.93,2.54,23.88,2,1,1,42,0,10,10,0,4.36,4.44,5.77,62.46,6.76,15.56,33.5298,746.8,765.8,870.3599999999999,336,340,332,3.6,3.85,5.15,20.399999999999977,138.70000000000005,7713.5,9,9,18,63,31,182,7,6,11,0.34999999999999987,0.96,17.83,1,1,38,10,10,20,0.08000000000000007,1.4099999999999993,47.89
3.74,10.5,9.81,18.72,801.8,55.0,48.0,126.0,464,128,151,684,5.2,1.6,1.6,6.8999999999999995,751.4,731.0,703.0,6839.400000000001,2,11,5,42,110,47,83,210,12,5,6,24,1.58,1.93,2.02,17.759999999999998,2,1,5,42,0,10,10,0,4.36,4.44,4.69,45.54,6.76,6.07,5.330000000000002,746.8,753.8,778.8,336,313,59,3.6,3.6,1.5000000000000009,20.399999999999977,48.39999999999998,4654.0,9,3,24,63,27,30,7,6,1,0.34999999999999987,0.43999999999999995,12.229999999999999,1,3,34,10,10,20,0.08000000000000007,0.33000000000000007,32.05
3.74,10.5,9.81,0.01926,801.8,55.0,48.0,87.6,464,128,151,594,5.2,1.6,1.6,6.0,751.4,731.0,703.0,7507.200000000001,2,11,5,42,110,47,83,102,12,5,6,18,1.58,1.93,2.02,18.96,2,1,5,42,0,10,10,0,4.36,4.44,4.69,49.800000000000004,6.76,6.07,24.03074,746.8,753.8,817.1999999999999,336,313,149,3.6,3.6,2.4000000000000004,20.399999999999977,48.39999999999998,5321.800000000001,9,3,24,63,27,138,7,6,5,0.34999999999999987,0.43999999999999995,13.430000000000001,1,3,34,10,10,20,0.08000000000000007,0.33000000000000007,36.31
3.74,10.5,9.81,0.010199999999999999,801.8,55.0,48.0,22.44,464,128,151,384,5.2,1.6,1.6,3.0,751.4,731.0,703.0,10086.0,2,11,5,42,110,47,83,54,12,5,6,12,1.58,1.93,2.02,23.88,2,1,5,42,0,10,10,0,4.36,4.44,4.69,62.46,6.76,6.07,24.0398,746.8,753.8,882.3599999999999,336,313,359,3.6,3.6,5.4,20.399999999999977,48.39999999999998,7900.6,9,3,24,63,27,186,7,6,11,0.34999999999999987,0.43999999999999995,18.35,1,3,34,10,10,20,0.08000000000000007,0.33000000000000007,48.97
3.74,10.5,9.81,29.58,801.8,55.0,48.0,197.39999999999998,464,128,151,798,5.2,1.6,1.6,8.399999999999999,751.4,731.0,703.0,6050.4,2,11,5,42,110,47,83,318,12,5,6,30,1.58,1.93,2.02,15.96,2,1,5,42,0,10,10,60,4.36,4.44,4.69,40.56,6.76,6.07,5.529999999999998,746.8,753.8,707.4,336,313,55,3.6,3.6,1.7763568394002505e-15,20.399999999999977,48.39999999999998,3864.9999999999995,9,3,24,63,27,78,7,6,7,0.34999999999999987,0.43999999999999995,10.430000000000001,1,3,34,10,10,40,0.08000000000000007,0.33000000000000007,27.07
