B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
10.5,30.0,1.15,33.0,2.0,5.0,2.04,799.1999999999999,1.950000000000001,24.0,77.0,7.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,1
10.5,48.0,1.6,83.0,2.0,5.0,6.07,817.1999999999999,2.4000000000000004,24.0,27.0,7.0,0.4399999999999999,3.0,10.0,20.0,0.33,1
10.5,87.0,1.45,42.0,2.0,1.0,6.459999999999999,817.8,1.3500000000000003,23.0,68.0,7.0,0.5800000000000001,1.0,5.0,15.0,0.4600000000000004,0
10.5,43.0,1.45,51.0,2.0,5.0,2.95,702.4,0.1499999999999985,24.0,59.0,7.0,0.4699999999999997,3.0,10.0,40.0,0.4899999999999993,0
6.77,55.0,1.6,47.0,2.0,1.0,6.76,1039.36,5.65,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,11.0,0.08,0
6.77,46.5,1.35,29.0,2.0,1.0,5.220000000000001,965.7,2.4000000000000004,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,11.0,0.1200000000000001,0
8.86,33.91,1.5,80.0,2.0,2.0,9.76,868.2699999999999,5.050000000000001,19.0,30.0,8.0,0.4199999999999999,0.0,10.0,17.0,0.5499999999999998,0
7.15,33.91,1.5,80.0,2.0,2.0,9.76,896.2699999999999,5.1,22.0,30.0,8.0,0.4199999999999999,0.0,10.0,15.0,0.5499999999999998,0
8.96,48.0,1.6,83.0,2.0,5.0,6.07,770.3,1.2500000000000009,24.0,27.0,8.0,0.4399999999999999,3.0,10.0,20.0,0.33,0
8.55,55.0,1.6,47.0,2.0,1.0,6.76,932.2,2.5500000000000007,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,10.0,0.08,1
13.5,30.0,1.15,33.0,2.0,5.0,2.04,739.7099999999999,0.9500000000000002,23.0,77.0,6.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,0
13.5,30.0,1.15,33.0,2.0,5.0,2.04,843.2699999999999,4.85,23.0,77.0,6.0,0.6000000000000001,3.0,0.0,10.0,0.9399999999999996,0
13.5,36.0,1.35,79.0,2.0,1.0,15.56,745.7099999999999,1.1500000000000012,17.0,31.0,6.0,0.96,1.0,10.0,20.0,1.4099999999999993,0
13.5,48.0,1.6,83.0,2.0,5.0,6.07,796.1099999999999,2.3000000000000007,23.0,27.0,6.0,0.4399999999999999,3.0,10.0,20.0,0.33,0
13.5,48.0,1.6,83.0,2.0,5.0,6.07,861.2699999999999,5.300000000000001,23.0,27.0,6.0,0.4399999999999999,3.0,10.0,20.0,0.33,0
13.5,26.14,1.4,46.0,2.0,0.0,8.26,839.4099999999999,5.1,18.0,64.0,6.0,0.6200000000000001,2.0,10.0,20.0,0.0899999999999998,0
7.31,55.0,1.6,47.0,2.0,1.0,6.76,834.1999999999999,2.35,26.0,63.0,7.0,0.3499999999999998,1.0,10.0,20.0,0.08,1
7.31,33.91,1.5,80.0,2.0,2.0,9.76,774.7099999999999,1.3500000000000003,25.0,30.0,7.0,0.4199999999999999,0.0,10.0,20.0,0.5499999999999998,1
0.862,55.0,1.6,47.0,2.0,1.0,6.76,1124.06,6.0,28.0,63.0,8.0,0.3499999999999998,1.0,10.0,10.0,0.08,1
0.862,57.8,1.25,13.0,2.0,3.0,1.04,1023.3,1.7500000000000009,36.0,97.0,8.0,0.03,1.0,0.0,0.0,1.1300000000000003,0
0.862,48.0,1.6,83.0,2.0,5.0,6.07,1051.9,3.0,34.0,27.0,8.0,0.4399999999999999,3.0,10.0,10.0,0.33,1
0.862,48.0,1.6,83.0,2.0,5.0,6.07,942.1,0.6000000000000014,34.0,27.0,8.0,0.4399999999999999,3.0,10.0,50.0,0.33,0
0.862,184.0,1.85,63.0,2.0,2.0,1.5,1187.9,3.25,36.0,47.0,8.0,0.3800000000000001,0.0,0.0,0.0,1.2600000000000002,0
0.862,50.0,1.3,31.0,2.0,3.0,2.17,1119.06,5.700000000000001,36.0,79.0,8.0,0.2299999999999999,1.0,0.0,0.0,1.16,1
0.862,215.0,1.95,57.0,2.0,2.0,2.41,1284.06,6.35,36.0,53.0,8.0,0.48,0.0,1.0,1.0,1.2600000000000002,1
