true_label,pred_label,predict_proba
0,0,0.05
0,0,0.01
0,0,0.15
0,1,0.51
0,0,0.06
1,1,0.77
1,0,0.44
0,0,0.10
1,0,0.30
0,0,0.10
1,0,0.03
0,0,0.13
1,0,0.29
0,0,0.00
1,1,0.65
0,0,0.00
1,1,0.91
1,1,0.97
1,0,0.48
1,1,0.63
1,1,0.98
0,1,0.51
1,1,0.99
0,0,0.04
1,1,0.98
1,1,0.83
1,1,0.68
0,0,0.00
0,0,0.25
1,1,0.54
0,0,0.03
0,0,0.10
0,0,0.09
0,0,0.07
0,0,0.00
1,1,0.98
0,0,0.11
0,0,0.04
0,0,0.00
0,0,0.03
0,0,0.01
0,0,0.00
0,0,0.40
1,0,0.08
0,0,0.01
0,0,0.00
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.00
0,0,0.27
0,0,0.33
1,0,0.26
1,1,1.00
0,0,0.00
0,0,0.00
1,1,0.99
0,0,0.02
0,0,0.04
0,0,0.00
1,1,0.98
0,0,0.03
0,0,0.00
0,0,0.00
0,1,0.61
1,1,0.79
0,0,0.16
0,0,0.11
0,0,0.46
1,1,1.00
1,1,0.99
0,0,0.08
0,0,0.24
0,0,0.50
0,0,0.04
1,1,0.95
0,1,0.77
0,0,0.00
0,0,0.04
1,1,0.97
0,0,0.32
0,0,0.00
0,0,0.39
0,0,0.34
0,0,0.00
0,0,0.01
1,1,1.00
0,0,0.18
1,1,1.00
0,0,0.00
0,0,0.00
0,0,0.00
0,1,0.69
0,0,0.01
0,0,0.02
1,1,1.00
0,0,0.00
0,0,0.08
1,1,0.86
0,0,0.16
0,0,0.08
1,0,0.34
0,0,0.34
1,0,0.41
1,1,1.00
0,1,0.89
0,0,0.04
0,0,0.22
0,0,0.05
0,0,0.07
1,1,0.73
0,0,0.28
1,0,0.31
1,1,0.97
1,0,0.16
0,0,0.17
0,0,0.00
0,0,0.01
0,0,0.01
0,0,0.00
0,1,0.56
0,0,0.01
0,0,0.14
0,0,0.04
0,0,0.01
1,1,0.99
1,1,0.92
0,1,0.87
0,0,0.00
1,1,0.94
1,1,0.78
0,0,0.07
1,1,0.99
0,0,0.39
0,0,0.45
0,0,0.45
0,1,0.55
0,0,0.00
1,0,0.48
0,0,0.00
0,0,0.09
1,1,0.87
1,1,1.00
0,0,0.04
0,0,0.00
0,0,0.32
0,0,0.36
0,0,0.07
