formation_energy_peratom,MagpieData_minimum_Number,MagpieData_maximum_Number,MagpieData_range_Number,MagpieData_maximum_MeltingT,MagpieData_mean_MeltingT,MagpieData_avg_dev_MeltingT,MagpieData_range_Column,MagpieData_maximum_Electronegativity,MagpieData_minimum_NsValence,MagpieData_maximum_NsValence,MagpieData_minimum_NpValence,MagpieData_range_NpValence,MagpieData_mean_NdValence,MagpieData_minimum_NfValence,MagpieData_range_NfValence,MagpieData_mean_NfValence,MagpieData_maximum_NValence,MagpieData_range_NValence,MagpieData_avg_dev_NValence,MagpieData_minimum_NpUnfilled,MagpieData_minimum_NdUnfilled,MagpieData_mean_NdUnfilled,MagpieData_mode_NdUnfilled,MagpieData_maximum_NfUnfilled,MagpieData_minimum_NUnfilled,MagpieData_mode_NUnfilled,MagpieData_minimum_GSbandgap,MagpieData_maximum_GSbandgap,MagpieData_range_GSbandgap,MagpieData_maximum_GSmagmom,compound_possible,target
9e-05,54.0,54.0,0.0,161.3,161.3,0.0,0.0,2.6,2.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.456,6.456,0.0,0.0,1.0,0
-0.6293700000000001,1.0,76.0,75.0,3306.0,610.0066666666667,794.6622222222223,7.0,2.2,1.0,2.0,0.0,0.0,0.6666666666666666,0.0,14.0,1.5555555555555556,22.0,21.0,4.098765432098765,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,7.853,7.853,0.0,0.0,0
-0.8819400000000001,52.0,55.0,3.0,722.66,405.2155555555556,70.54320987654324,16.0,2.66,1.0,2.0,0.0,5.0,7.777777777777778,0.0,0.0,0.0,17.0,16.0,5.481481481481481,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.062,1.062,0.0,1.0,1
-2.04937,7.0,69.0,62.0,1818.0,940.525,877.475,12.0,3.04,2.0,2.0,0.0,3.0,0.0,0.0,13.0,6.5,15.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.437,6.437,0.0,1.0,1
-0.59552,34.0,82.0,48.0,600.61,547.3050000000001,53.30500000000001,2.0,2.55,2.0,2.0,2.0,2.0,10.0,0.0,14.0,7.0,28.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.799,0.799,0.0,1.0,1
-2.07809,17.0,40.0,23.0,2128.0,420.28,379.4933333333333,16.0,3.16,1.0,2.0,0.0,5.0,0.2222222222222222,0.0,0.0,0.0,7.0,6.0,2.2222222222222223,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,0
-2.7603,9.0,82.0,73.0,1115.0,254.57625,301.614375,15.0,3.98,2.0,2.0,0.0,5.0,1.25,0.0,14.0,1.75,28.0,26.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-1.85517,38.0,52.0,14.0,1050.0,886.3299999999999,163.67000000000002,14.0,2.1,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,16.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464,0.464,0.0,1.0,0
-0.8507,17.0,81.0,64.0,722.66,322.91777777777776,201.75703703703704,4.0,3.16,2.0,2.0,1.0,4.0,3.333333333333333,0.0,14.0,3.111111111111111,27.0,20.0,7.25925925925926,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,0
-2.01006,7.0,68.0,61.0,1770.0,916.525,853.475,12.0,3.04,2.0,2.0,0.0,3.0,0.0,0.0,12.0,6.0,14.0,9.0,4.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.437,6.437,0.0,1.0,1
-0.95156,19.0,35.0,16.0,494.0,306.87333333333333,54.76444444444443,16.0,2.96,1.0,2.0,0.0,5.0,7.777777777777778,0.0,0.0,0.0,17.0,16.0,5.481481481481481,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.457,1.457,0.0,1.0,0
-2.17597,20.0,34.0,14.0,1115.0,804.5,310.5,14.0,2.55,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,16.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799,0.799,0.0,1.0,0
-3.76364,9.0,22.0,13.0,1941.0,422.125,552.9375,15.0,3.98,2.0,2.0,0.0,5.0,0.25,0.0,0.0,0.0,7.0,5.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.97,1.97,2.25333333333e-05,1.0,0
-3.15212,9.0,50.0,41.0,1115.0,242.635,283.7025,15.0,3.98,2.0,2.0,0.0,5.0,1.25,0.0,0.0,0.0,14.0,12.0,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-1.77034,20.0,52.0,32.0,1115.0,918.83,196.17,14.0,2.1,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,16.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464,0.464,0.0,1.0,1
-1.81084,9.0,79.0,70.0,2739.0,507.03899999999993,612.4504,16.0,3.98,1.0,2.0,0.0,5.0,1.7,0.0,14.0,2.8,25.0,24.0,5.92,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,0.0,1
-0.42759,4.0,35.0,31.0,1560.0,607.0325,476.48375,16.0,2.96,1.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,17.0,16.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.457,1.457,0.0,0.0,1
0.16627,4.0,35.0,31.0,1560.0,598.6275,480.68625,15.0,2.96,2.0,2.0,0.0,5.0,7.5,0.0,0.0,0.0,17.0,15.0,5.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.457,1.457,0.0,0.0,1
-1.41693,52.0,62.0,10.0,1345.0,1033.83,311.17,13.0,2.1,2.0,2.0,0.0,4.0,5.0,0.0,6.0,3.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.464,0.464,0.0,0.0,1
-0.45137,3.0,81.0,78.0,903.78,597.04,153.36999999999998,14.0,2.05,1.0,2.0,0.0,3.0,5.0,0.0,14.0,3.5,27.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-1.86597,35.0,37.0,2.0,312.46,289.13,23.329999999999984,16.0,2.96,1.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,17.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.457,1.457,0.0,1.0,0
-0.28885,1.0,37.0,36.0,312.46,163.235,149.225,0.0,2.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.853,7.853,0.0,1.0,0
-1.05834,19.0,83.0,64.0,1357.77,417.003,213.63280000000003,16.0,2.96,1.0,2.0,0.0,5.0,8.0,0.0,14.0,1.4,29.0,28.0,6.040000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.457,1.457,0.0,0.0,1
-0.7562,19.0,81.0,62.0,1090.0,466.116,146.9536,16.0,2.66,1.0,2.0,0.0,5.0,8.0,0.0,14.0,1.4,27.0,26.0,5.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.062,1.062,0.0,1.0,1
-3.40997,9.0,60.0,51.0,1294.0,265.893,254.87159999999997,16.0,3.98,1.0,2.0,0.0,5.0,0.0,0.0,4.0,0.4,7.0,6.0,2.46,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-2.67776,9.0,83.0,74.0,544.4,185.092,157.9104,16.0,3.98,1.0,2.0,0.0,5.0,1.0,0.0,14.0,1.4,29.0,28.0,4.32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-3.12145,9.0,47.0,38.0,1814.0,399.485,449.992,16.0,3.98,1.0,2.0,0.0,5.0,1.1,0.0,0.0,0.0,11.0,10.0,2.4799999999999995,0.0,0.0,0.9,0.0,0.0,1.0,1.0,0.0,1.97,1.97,6.35e-06,1.0,0
-2.85747,9.0,79.0,70.0,1799.0,413.03899999999993,462.0503999999999,16.0,3.98,1.0,2.0,0.0,5.0,1.1,0.0,14.0,1.4,25.0,24.0,3.560000000000001,0.0,0.0,0.9,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,0.0,0
-1.27055,17.0,46.0,29.0,1828.05,386.9522222222222,320.243950617284,16.0,3.16,0.0,2.0,0.0,5.0,1.1111111111111112,0.0,0.0,0.0,10.0,9.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.493,2.493,0.0,1.0,1
-2.96382,9.0,31.0,22.0,336.53,163.35,131.82,16.0,3.98,1.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0,12.0,2.88,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-0.9459,3.0,53.0,50.0,903.78,435.163,97.4288,16.0,2.66,1.0,2.0,0.0,5.0,7.0,0.0,0.0,0.0,17.0,16.0,6.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.062,1.062,0.0,1.0,1
-2.93737,9.0,59.0,50.0,1234.93,343.299,350.4664,16.0,3.98,1.0,2.0,0.0,5.0,1.0,0.0,3.0,0.3,11.0,10.0,2.2,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-0.47159,17.0,47.0,30.0,1234.93,703.265,531.665,6.0,3.16,1.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.493,2.493,0.0,1.0,0
-0.74106,19.0,53.0,34.0,1090.0,451.391,127.72179999999996,16.0,2.66,1.0,2.0,0.0,5.0,8.0,0.0,0.0,0.0,17.0,16.0,4.92,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.062,1.062,0.0,0.0,0
-2.26496,9.0,77.0,68.0,2739.0,417.2610000000001,464.3478000000001,16.0,3.98,1.0,2.0,0.0,5.0,0.7,0.0,14.0,1.4,23.0,22.0,3.4799999999999995,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-3.17542,9.0,49.0,40.0,1799.0,322.281,322.53720000000004,16.0,3.98,1.0,2.0,0.0,5.0,1.1,0.0,0.0,0.0,13.0,12.0,2.6,0.0,0.0,0.9,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,0.0,0
-2.94305,9.0,37.0,28.0,312.46,156.129,123.15479999999998,16.0,3.98,1.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0,12.0,2.88,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-2.02091,16.0,71.0,55.0,1936.0,1162.18,773.8199999999999,13.0,2.58,2.0,2.0,0.0,4.0,0.5,0.0,14.0,7.0,17.0,11.0,5.5,0.0,0.0,4.5,0.0,0.0,2.0,2.0,0.0,2.202,2.202,0.0022471,0.0,1
-2.36761,9.0,81.0,72.0,1090.0,266.106,255.1272,16.0,3.98,1.0,2.0,0.0,5.0,2.0,0.0,14.0,1.4,27.0,26.0,4.959999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.97,1.97,0.0,1.0,0
-2.74583,8.0,56.0,48.0,1000.0,527.4,472.6,14.0,3.44,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
