formula,number
Li2NaBF6,1
Li2NaNF6,1
Li2CuAlF6,1
Li2CuPF6,1
Li2CuCrF6,1
Li2CuCoF6,1
Li2CuNiF6,1
Li2CuGaF6,1
Li2CuAsF6,1
Li2AgNF6,1
Na2LiAlF6,1
Na2LiPF6,1
Na2LiScF6,1
Na2LiTiF6,1
Na2LiVF6,1
Na2LiCrF6,1
Na2LiMnF6,1
Na2LiFeF6,1
Na2LiCoF6,1
Na2LiNiF6,1
Na2LiCuF6,1
Na2LiGaF6,1
Na2LiAsF6,1
Na2LiYF6,1
Na2LiNbF6,1
Na2LiMoF6,1
Na2LiRuF6,1
Na2LiRhF6,1
Na2LiPdF6,1
Na2LiAgF6,1
Na2LiInF6,1
Na2LiSbF6,1
Na2LiTaF6,1
Na2LiIrF6,1
Na2LiAuF6,1
Na2LiTlF6,1
Na2LiBiF6,1
Na2LiLaF6,1
Na2LiCeF6,1
Na2LiPrF6,1
Na2LiNdF6,1
Na2LiPmF6,1
Na2LiSmF6,1
Na2LiEuF6,1
Na2LiGdF6,1
Na2LiTbF6,1
Na2LiDyF6,1
Na2LiHoF6,1
Na2LiErF6,1
Na2LiTmF6,1
Na2LiYbF6,1
Na2LiLuF6,1
Na2LiUF6,1
Na2KBF6,1
Na2KNF6,1
Na2KPF6,1
Na2CuAlF6,1
Na2CuPF6,1
Na2CuScF6,1
Na2CuTiF6,1
Na2CuVF6,1
Na2CuCrF6,1
Na2CuMnF6,1
Na2CuFeF6,1
Na2CuCoF6,1
Na2CuNiF6,1
Na2CuGaF6,1
Na2CuAsF6,1
Na2CuYF6,1
Na2CuNbF6,1
Na2CuMoF6,1
Na2CuRuF6,1
Na2CuRhF6,1
Na2CuPdF6,1
Na2CuAgF6,1
Na2CuInF6,1
Na2CuSbF6,1
Na2CuTaF6,1
Na2CuIrF6,1
Na2CuAuF6,1
Na2CuTlF6,1
Na2CuBiF6,1
Na2CuLaF6,1
Na2CuCeF6,1
Na2CuPrF6,1
Na2CuNdF6,1
Na2CuPmF6,1
Na2CuSmF6,1
Na2CuEuF6,1
Na2CuGdF6,1
Na2CuTbF6,1
Na2CuDyF6,1
Na2CuHoF6,1
Na2CuErF6,1
Na2CuTmF6,1
Na2CuYbF6,1
Na2CuLuF6,1
Na2CuUF6,1
Na2RbBF6,1
Na2RbNF6,1
Na2AgBF6,1
Na2AgNF6,1
Na2AgAlF6,1
Na2AgPF6,1
Na2AgTiF6,1
Na2AgVF6,1
Na2AgCrF6,1
Na2AgMnF6,1
Na2AgFeF6,1
Na2AgCoF6,1
Na2AgNiF6,1
Na2AgCuF6,1
Na2AgGaF6,1
Na2AgAsF6,1
Na2AgNbF6,1
Na2AgMoF6,1
Na2AgRuF6,1
Na2AgRhF6,1
Na2AgIrF6,1
Na2CsNF6,1
Na2AuBF6,1
Na2AuNF6,1
Na2AuPF6,1
Na2HgBF6,1
Na2HgNF6,1
Na2HgPF6,1
Na2TlBF6,1
Na2TlNF6,1
K2LiAlF6,1
K2LiPF6,1
K2LiScF6,1
K2LiTiF6,1
K2LiVF6,1
K2LiCrF6,1
K2LiMnF6,1
K2LiFeF6,1
K2LiCoF6,1
K2LiNiF6,1
K2LiCuF6,1
K2LiGaF6,1
K2LiAsF6,1
K2LiYF6,1
K2LiYCl6,1
K2LiNbF6,1
K2LiMoF6,1
K2LiRuF6,1
K2LiRhF6,1
K2LiPdF6,1
K2LiPdCl6,1
K2LiAgF6,1
K2LiInF6,1
K2LiInCl6,1
K2LiSbF6,1
K2LiSbCl6,1
K2LiTaF6,1
K2LiIrF6,1
K2LiAuF6,1
K2LiAuCl6,1
K2LiTlF6,1
K2LiTlCl6,1
K2LiBiF6,1
K2LiBiCl6,1
K2LiLaF6,1
K2LiLaCl6,1
K2LiCeF6,1
K2LiCeCl6,1
K2LiPrF6,1
K2LiPrCl6,1
K2LiNdF6,1
K2LiNdCl6,1
K2LiPmF6,1
K2LiPmCl6,1
K2LiSmF6,1
K2LiSmCl6,1
K2LiEuF6,1
K2LiEuCl6,1
K2LiGdF6,1
K2LiGdCl6,1
K2LiTbF6,1
K2LiTbCl6,1
K2LiDyF6,1
K2LiDyCl6,1
K2LiHoF6,1
K2LiHoCl6,1
K2LiErF6,1
K2LiErCl6,1
K2LiTmF6,1
K2LiTmCl6,1
K2LiYbF6,1
K2LiYbCl6,1
K2LiLuF6,1
K2LiLuCl6,1
K2LiUF6,1
K2LiUCl6,1
K2NaBF6,1
K2NaNF6,1
K2NaAlF6,1
K2NaAlCl6,1
K2NaPF6,1
K2NaScF6,1
K2NaScCl6,1
K2NaTiF6,1
K2NaTiCl6,1
K2NaVF6,1
K2NaVCl6,1
K2NaCrF6,1
K2NaCrCl6,1
K2NaMnF6,1
K2NaMnCl6,1
K2NaFeF6,1
K2NaFeCl6,1
K2NaCoF6,1
K2NaCoCl6,1
K2NaNiF6,1
K2NaNiCl6,1
K2NaCuF6,1
K2NaCuCl6,1
K2NaGaF6,1
K2NaGaCl6,1
K2NaAsF6,1
K2NaAsCl6,1
K2NaYF6,1
K2NaYCl6,1
