formula,number
Na2LiAuF6,1
Na2LiYbF6,1
K2LiInCl6,1
K2LiAuF6,1
K2LiYbF6,1
K2LiYbCl6,1
K2LiLuF6,1
K2NaMnCl6,1
K2NaRhF6,1
K2NaYbF6,1
K2NaYbCl6,1
K2CuLuCl6,1
K2RbRhF6,1
K2AgYbF6,1
Rb2LiInCl6,1
Rb2LiAuF6,1
Rb2LiPrBr6,1
Rb2LiNdBr6,1
Rb2LiPmBr6,1
Rb2LiSmBr6,1
Rb2LiGdBr6,1
Rb2LiYbF6,1
Rb2LiYbCl6,1
Rb2LiUBr6,1
Rb2NaMoBr6,1
Rb2NaRhF6,1
Rb2NaIrBr6,1
Rb2NaPrBr6,1
Rb2NaNdBr6,1
Rb2NaPmBr6,1
Rb2NaSmBr6,1
Rb2NaGdBr6,1
Rb2NaTbBr6,1
Rb2NaDyBr6,1
Rb2NaHoBr6,1
Rb2NaErBr6,1
Rb2NaTmBr6,1
Rb2NaYbF6,1
Rb2NaYbCl6,1
Rb2NaYbBr6,1
Rb2NaLuBr6,1
Rb2KMnBr6,1
Rb2KMoBr6,1
Rb2KIrBr6,1
Rb2CuPrBr6,1
Rb2CuNdBr6,1
Rb2CuGdBr6,1
Rb2CuTbBr6,1
Rb2CuDyBr6,1
Rb2CuLuCl6,1
Rb2AgTiBr6,1
Rb2AgVBr6,1
Rb2AgMnBr6,1
Rb2AgNbBr6,1
Rb2AgMoBr6,1
Rb2AgTaBr6,1
Rb2AgIrBr6,1
Rb2AgEuBr6,1
Rb2AgGdBr6,1
Rb2AgTbBr6,1
Rb2AgDyBr6,1
Rb2AgHoBr6,1
Rb2AgErBr6,1
Rb2AgTmBr6,1
Rb2AgYbF6,1
Rb2AgYbBr6,1
Rb2AgLuBr6,1
Rb2TlPBr6,1
Rb2TlAsBr6,1
Rb2TlTaCl6,1
Ag2LiErF6,1
Ag2LiTmF6,1
Ag2NaTmF6,1
Cs2LiInCl6,1
Cs2LiAuF6,1
Cs2LiPrBr6,1
Cs2LiNdBr6,1
Cs2LiPmBr6,1
Cs2LiSmBr6,1
Cs2LiGdBr6,1
Cs2LiTbBr6,1
Cs2LiDyBr6,1
Cs2LiHoBr6,1
Cs2LiErBr6,1
Cs2LiTmBr6,1
Cs2LiYbF6,1
Cs2LiYbCl6,1
Cs2LiYbBr6,1
Cs2LiLuBr6,1
Cs2NaMnBr6,1
Cs2NaMoBr6,1
Cs2NaRhF6,1
Cs2NaIrBr6,1
Cs2NaAuF6,1
Cs2NaPrBr6,1
Cs2NaNdBr6,1
Cs2NaPmBr6,1
Cs2NaSmBr6,1
Cs2NaGdBr6,1
Cs2NaTbBr6,1
Cs2NaDyBr6,1
Cs2NaHoBr6,1
Cs2NaErBr6,1
Cs2NaTmBr6,1
Cs2NaYbF6,1
Cs2NaYbCl6,1
Cs2NaYbBr6,1
Cs2NaLuBr6,1
Cs2KMnBr6,1
Cs2KMnI6,1
Cs2KMoBr6,1
Cs2KMoI6,1
Cs2KIrBr6,1
Cs2KIrI6,1
Cs2KPrBr6,1
Cs2KNdBr6,1
Cs2KPmBr6,1
Cs2KSmBr6,1
Cs2KGdBr6,1
Cs2KTbBr6,1
Cs2KDyBr6,1
Cs2KHoBr6,1
Cs2KErBr6,1
Cs2KTmBr6,1
Cs2KYbF6,1
Cs2KYbCl6,1
Cs2KYbBr6,1
Cs2KLuBr6,1
Cs2CuYBr6,1
Cs2CuLaBr6,1
Cs2CuCeBr6,1
Cs2CuPrBr6,1
Cs2CuNdBr6,1
Cs2CuPmBr6,1
Cs2CuSmBr6,1
Cs2CuEuBr6,1
Cs2CuGdBr6,1
Cs2CuTbBr6,1
Cs2CuDyBr6,1
Cs2CuHoBr6,1
Cs2CuErBr6,1
Cs2CuTmBr6,1
Cs2CuYbBr6,1
Cs2CuLuCl6,1
Cs2CuLuBr6,1
Cs2CuUBr6,1
Cs2RbMnBr6,1
Cs2RbMnI6,1
Cs2RbGaI6,1
Cs2RbMoBr6,1
Cs2RbIrBr6,1
